生徒数,訪問数,説明会,電話,A資料,B資料,C資料,販促品,エリア,販売数
4,6,1,2,1,1,1,1,南,5
11,11,1,2,1,1,3,2,南,6
15,9,1,2,1,1,1,1,南,23
15,16,1,2,1,1,1,1,北,7
1,8,1,2,2,2,2,0,北,1
5,16,1,2,1,1,1,3,北,0
27,13,1,2,1,1,1,1,北,2
8,19,1,2,2,2,2,3,北,5
14,21,1,2,9,9,1,2,北,13
8,15,1,2,1,1,1,1,北,1
9,12,1,2,1,1,1,1,北,12
9,8,0,2,2,1,2,1,東,0
5,18,0,2,1,1,1,2,東,0
4,6,0,2,9,9,9,0,東,2
15,13,0,2,1,1,2,1,東,4
7,7,0,2,1,1,1,2,東,1
6,13,0,2,1,1,3,1,東,7
5,11,0,2,1,1,1,3,東,5
3,6,0,2,1,9,9,1,西,8
7,17,0,2,2,2,2,2,西,18
10,5,0,2,2,2,3,2,西,0
6,11,0,2,1,1,2,1,西,8
20,18,0,2,9,9,9,3,西,4
30,3,0,2,1,2,2,0,西,0
29,17,0,2,1,1,1,2,南,0
28,23,0,2,1,2,1,3,南,13
29,13,0,2,3,3,3,1,南,0
4,13,0,2,1,1,1,1,南,4
0,5,0,2,9,9,9,1,北,8
11,16,0,2,2,2,3,1,北,7
28,12,0,2,1,1,2,3,北,15
18,8,0,2,1,1,3,2,北,21
16,10,0,2,1,1,3,2,北,22
15,20,7,1,9,9,9,0,東,9
15,18,7,1,1,1,1,3,東,6
60,22,7,1,1,1,1,2,西,7
7,18,6,1,2,2,2,2,東,9
4,7,6,1,2,2,2,2,東,0
15,17,6,1,1,1,1,3,南,7
4,19,6,1,2,3,3,1,南,2
14,16,6,1,2,3,3,2,南,7
43,12,6,1,1,1,1,2,北,29
7,16,5,1,2,2,1,2,東,3
14,13,5,1,2,2,1,2,東,11
5,16,5,1,1,1,1,1,東,13
3,20,5,1,1,1,1,3,東,9
2,6,5,1,2,2,2,2,東,2
1,5,5,1,2,2,2,2,東,0
4,9,5,1,1,1,1,1,西,4
16,26,5,1,1,1,1,3,南,18
8,19,5,1,3,3,1,2,南,4
9,11,5,1,1,1,1,2,南,3
4,16,5,1,2,3,3,2,南,4
8,17,5,1,1,1,1,1,南,7
28,13,5,1,2,2,2,1,北,5
4,20,4,1,2,2,2,3,東,4
15,24,4,1,1,1,1,2,東,0
11,8,4,1,1,1,1,3,東,4
17,13,4,1,1,1,1,3,西,10
10,18,4,1,1,1,2,1,西,16
14,14,4,1,1,1,1,1,西,20
13,18,4,1,2,1,2,1,西,9
45,10,4,1,2,2,2,2,西,8
17,22,4,1,1,1,2,1,西,12
43,14,4,1,1,2,1,3,西,8
9,14,4,1,1,1,1,2,南,0
28,23,4,1,1,1,1,2,南,17
120,10,4,1,2,2,2,2,南,0
5,15,4,1,1,1,1,3,南,0
22,15,4,1,1,2,1,2,南,23
28,12,4,1,1,1,2,3,南,8
5,17,4,1,1,1,1,2,南,5
9,11,4,1,1,2,2,2,北,23
29,8,4,1,2,2,2,1,北,4
3,26,4,1,1,1,1,1,北,0
12,25,4,1,2,1,1,3,北,5
44,20,3,1,1,1,2,3,東,30
4,11,3,1,1,1,2,1,東,4
5,16,3,1,1,1,2,2,東,6
5,12,3,1,9,9,9,1,東,4
5,19,3,1,1,1,1,2,東,11
78,29,3,1,1,1,1,3,東,12
13,15,3,1,1,1,1,3,東,6
4,20,3,1,1,1,1,2,東,9
9,20,3,1,1,1,1,2,東,13
14,25,3,1,1,1,2,2,東,2
14,30,3,1,2,2,2,1,東,4
6,12,3,1,1,1,1,3,東,7
13,14,3,1,2,2,3,3,東,9
4,10,3,1,2,1,2,2,東,4
7,25,3,1,1,1,1,2,東,10
17,9,3,1,2,2,2,3,東,6
18,9,3,1,1,1,2,2,東,0
11,15,3,1,1,1,1,3,東,17
6,13,3,1,9,9,9,2,東,2
14,10,3,1,1,1,1,3,西,0
23,16,3,1,2,2,2,2,西,17
5,6,3,1,1,1,1,0,西,5
7,10,3,1,1,2,1,1,西,5
9,13,3,1,1,1,9,3,西,5
22,13,3,1,2,2,2,2,西,7
9,9,3,1,1,1,1,3,西,4
17,10,3,1,1,1,1,3,西,13
29,7,3,1,1,2,2,1,西,10
29,13,3,1,1,1,1,1,西,3
14,10,3,1,1,1,1,2,西,6
5,8,3,1,1,1,1,0,南,13
7,18,3,1,2,2,2,1,南,9
3,11,3,1,2,2,2,1,南,1
22,19,3,1,1,3,1,1,南,3
7,6,3,1,1,1,1,1,南,11
30,9,3,1,1,1,3,1,南,11
7,8,3,1,1,1,3,2,南,15
35,11,3,1,2,2,2,2,南,13
8,11,3,1,1,1,1,3,南,16
2,14,3,1,1,1,1,0,南,6
5,9,3,1,1,3,1,1,南,3
8,15,3,1,2,2,2,2,南,6
7,12,3,1,1,1,1,1,南,7
29,14,3,1,1,1,2,3,南,4
4,15,3,1,2,2,3,2,南,3
4,18,3,1,1,1,1,1,南,7
13,11,3,1,1,1,1,1,南,8
14,18,3,1,1,1,9,2,南,1
6,10,3,1,2,9,2,2,南,0
28,19,3,1,1,1,1,2,南,15
22,8,3,1,3,3,3,1,北,5
8,17,3,1,1,1,1,3,北,2
18,11,3,1,1,1,1,2,北,8
6,5,3,1,2,3,3,1,北,1
12,22,3,1,1,1,1,1,北,7
8,15,3,1,1,1,1,2,北,5
29,13,3,1,2,2,2,2,北,1
5,15,2,1,9,9,9,0,東,1
13,20,2,1,1,1,2,3,東,22
4,6,2,1,9,9,9,1,東,0
5,11,2,1,1,2,1,3,東,15
7,10,2,1,1,1,2,3,東,13
9,13,2,1,1,2,1,3,東,3
14,14,2,1,1,2,1,3,東,5
89,18,2,1,2,2,2,2,東,4
9,7,2,1,2,2,2,2,東,4
30,9,2,1,2,2,2,2,東,8
23,18,2,1,2,2,2,1,東,2
30,14,2,1,1,1,1,1,東,15
5,14,2,1,1,1,3,2,東,4
14,17,2,1,1,1,1,2,東,11
30,11,2,1,1,2,2,2,東,15
3,8,2,1,2,2,2,1,東,2
13,13,2,1,1,1,1,3,東,22
29,9,2,1,1,1,1,1,東,6
4,31,2,1,3,2,2,2,東,13
8,5,2,1,1,1,1,3,東,8
16,9,2,1,2,2,2,3,東,11
4,10,2,1,1,1,9,1,東,1
11,15,2,1,1,1,1,2,東,4
3,5,2,1,1,1,1,2,東,0
30,20,2,1,1,3,3,3,東,12
6,8,2,1,2,2,2,1,東,9
1,2,2,1,2,2,2,2,東,0
1,2,2,1,2,2,2,2,東,0
9,7,2,1,2,2,2,2,西,0
7,6,2,1,2,2,2,2,西,2
14,9,2,1,2,2,2,2,西,0
5,4,2,1,2,2,2,2,西,3
9,17,2,1,1,1,1,2,西,9
5,17,2,1,2,2,2,1,西,9
19,7,2,1,1,1,1,1,西,9
30,17,2,1,1,1,2,2,西,13
15,5,2,1,1,1,1,2,西,2
12,4,2,1,2,2,2,1,西,12
7,22,2,1,1,2,2,3,西,18
4,12,2,1,1,1,1,1,西,10
6,6,2,1,9,9,9,1,西,0
30,15,2,1,1,1,1,2,西,6
5,5,2,1,1,2,1,1,西,1
4,13,2,1,1,1,1,3,西,5
9,11,2,1,2,2,2,2,西,13
8,19,2,1,2,2,2,1,西,18
30,18,2,1,3,3,3,0,西,7
5,8,2,1,1,1,1,0,西,2
8,12,2,1,1,1,1,0,西,5
28,12,2,1,1,1,1,3,西,14
28,17,2,1,1,1,1,3,西,5
30,19,2,1,1,3,3,2,西,9
4,19,2,1,1,1,3,2,西,3
6,10,2,1,1,1,2,1,西,4
13,12,2,1,2,2,2,1,西,5
29,13,2,1,2,2,2,2,西,15
29,9,2,1,1,1,3,1,南,9
16,15,2,1,2,9,2,3,南,19
29,18,2,1,1,1,3,1,南,0
4,8,2,1,1,3,1,1,南,0
28,13,2,1,1,2,1,2,南,24
21,13,2,1,1,2,1,2,南,18
8,15,2,1,3,3,3,3,南,4
6,18,2,1,1,1,2,1,南,12
45,11,2,1,2,2,2,1,南,16
14,7,2,1,1,1,3,3,南,5
8,9,2,1,1,2,2,1,南,10
2,9,2,1,1,3,1,1,南,0
6,12,2,1,2,3,1,1,南,8
5,16,2,1,9,9,9,0,南,11
28,22,2,1,1,1,3,3,南,13
3,13,2,1,1,1,1,0,南,0
6,8,2,1,1,1,1,2,南,6
14,9,2,1,1,2,2,1,南,7
15,10,2,1,1,2,2,1,南,6
18,14,2,1,2,2,3,2,南,15
15,8,2,1,1,1,1,1,南,17
16,10,2,1,1,1,1,1,南,10
7,21,2,1,1,1,2,3,南,14
28,12,2,1,2,2,2,2,南,8
16,12,2,1,1,1,2,2,南,6
6,8,2,1,1,1,3,1,南,0
1,17,2,1,1,1,2,1,南,1
5,23,2,1,2,2,2,1,南,2
17,5,2,1,9,1,9,0,南,19
5,13,2,1,2,2,2,2,南,3
15,14,2,1,1,2,2,2,南,1
23,14,2,1,1,2,2,2,南,4
30,21,2,1,1,2,2,2,南,6
2,12,2,1,1,2,2,1,南,0
5,17,2,1,1,2,2,2,南,0
2,11,2,1,1,1,1,3,南,0
5,10,2,1,1,9,3,1,南,0
29,17,2,1,1,1,1,3,南,9
4,13,2,1,1,1,1,2,南,7
17,28,2,1,1,1,2,1,南,12
4,16,2,1,1,1,1,2,南,11
2,15,2,1,2,2,2,3,南,0
6,14,2,1,1,1,1,3,南,0
14,17,2,1,2,2,2,3,南,2
6,14,2,1,1,1,1,2,南,1
29,13,2,1,2,2,3,3,北,9
59,9,2,1,2,2,2,1,北,15
28,8,2,1,1,2,2,3,北,8
24,9,2,1,1,1,2,3,北,5
28,9,2,1,2,2,2,2,北,49
15,14,2,1,1,1,1,3,北,15
7,15,2,1,1,1,1,2,北,7
8,5,2,1,3,3,3,2,北,7
30,14,2,1,2,3,2,2,北,7
3,14,2,1,3,3,9,1,北,0
14,12,2,1,1,1,1,3,北,9
6,7,2,1,1,1,1,1,北,5
13,6,2,1,1,1,3,1,北,5
13,4,2,1,3,3,3,2,北,6
18,12,2,1,1,1,3,0,北,16
43,22,1,1,1,1,2,3,東,27
6,12,1,1,2,2,2,1,東,3
5,8,1,1,2,2,3,1,東,0
6,10,1,1,1,1,3,1,東,3
13,18,1,1,1,1,3,2,東,7
2,8,1,1,1,1,9,1,東,0
60,5,1,1,1,1,1,2,東,0
4,13,1,1,3,9,9,1,東,2
4,16,1,1,9,9,9,2,東,7
14,11,1,1,1,1,1,2,東,4
5,7,1,1,2,1,2,2,東,1
6,13,1,1,9,1,9,2,東,1
3,4,1,1,2,2,2,1,東,4
28,7,1,1,2,2,2,3,東,11
7,5,1,1,2,2,2,3,東,0
3,4,1,1,3,3,3,2,東,1
4,9,1,1,2,2,3,1,東,1
7,7,1,1,2,1,9,1,東,4
12,16,1,1,3,3,3,1,東,6
4,12,1,1,1,1,1,3,東,7
14,19,1,1,1,1,1,1,東,7
13,7,1,1,9,9,9,2,東,3
3,16,1,1,9,9,9,3,東,1
15,12,1,1,1,1,2,2,東,9
3,7,1,1,1,1,1,3,東,1
8,7,1,1,2,2,2,1,東,5
5,14,1,1,2,2,2,3,東,8
9,17,1,1,1,1,2,1,東,19
4,10,1,1,1,1,1,3,東,0
8,5,1,1,2,2,2,1,東,11
13,5,1,1,2,2,2,1,東,6
3,10,1,1,9,9,9,2,東,0
30,19,1,1,2,2,2,1,東,8
2,8,1,1,1,1,2,1,東,2
0,4,1,1,9,9,9,0,東,0
22,20,1,1,1,1,1,2,東,13
9,9,1,1,1,1,2,1,東,1
8,9,1,1,1,1,1,3,東,0
14,11,1,1,1,1,1,1,東,7
13,12,1,1,1,1,1,1,東,0
6,11,1,1,9,9,9,2,東,0
9,19,1,1,2,2,2,2,東,11
6,15,1,1,2,3,2,3,東,8
9,13,1,1,1,1,1,1,東,18
6,16,1,1,9,9,9,1,東,0
45,10,1,1,1,1,1,2,東,7
8,12,1,1,2,2,2,2,東,11
14,14,1,1,2,2,2,2,東,1
28,13,1,1,2,2,2,1,西,7
11,6,1,1,2,2,2,1,西,5
6,6,1,1,3,3,3,0,西,19
6,3,1,1,9,9,9,0,西,2
8,16,1,1,2,2,3,3,西,2
10,7,1,1,1,1,2,1,西,0
6,13,1,1,2,2,2,1,西,2
10,9,1,1,2,2,2,3,西,2
13,11,1,1,1,1,2,1,西,8
6,5,1,1,1,1,3,1,西,0
8,11,1,1,2,2,2,1,西,0
6,10,1,1,1,1,1,0,西,12
0,11,1,1,1,1,1,3,西,5
14,9,1,1,3,3,3,1,西,3
9,19,1,1,1,1,2,3,西,14
11,12,1,1,2,1,2,3,西,13
89,14,1,1,2,2,2,1,西,12
8,9,1,1,1,1,1,1,西,10
18,15,1,1,1,1,1,2,西,14
58,7,1,1,2,2,2,1,西,22
13,5,1,1,2,2,3,1,西,3
7,11,1,1,3,3,2,2,西,39
14,5,1,1,2,2,2,1,西,4
28,16,1,1,1,2,2,1,西,9
5,15,1,1,1,1,9,1,西,9
7,8,1,1,9,9,9,1,西,4
5,16,1,1,2,2,2,3,西,5
28,15,1,1,1,1,9,1,西,1
23,6,1,1,9,9,9,0,西,0
12,16,1,1,2,2,2,0,西,7
13,17,1,1,2,2,2,0,西,4
44,7,1,1,2,2,2,2,西,7
5,9,1,1,2,2,2,1,西,9
7,16,1,1,1,1,1,1,西,0
12,9,1,1,2,2,2,1,西,9
30,13,1,1,2,2,2,3,西,6
10,8,1,1,2,2,2,1,西,13
8,11,1,1,3,3,3,1,西,7
7,5,1,1,1,1,3,1,西,0
9,3,1,1,1,1,9,0,西,0
13,21,1,1,2,2,2,3,西,4
13,8,1,1,1,1,1,0,西,17
9,6,1,1,1,1,9,0,西,6
4,12,1,1,1,1,1,1,西,7
2,7,1,1,1,1,1,1,西,0
1,7,1,1,1,1,1,1,西,0
4,3,1,1,1,1,1,1,西,3
15,15,1,1,2,2,2,2,南,6
4,9,1,1,1,1,1,2,南,4
28,10,1,1,1,2,1,2,南,14
43,15,1,1,1,1,2,2,南,4
14,5,1,1,2,2,2,2,南,5
1,12,1,1,9,9,9,0,南,0
24,17,1,1,1,3,3,1,南,3
4,8,1,1,1,1,1,1,南,7
17,26,1,1,1,2,1,2,南,30
8,14,1,1,1,9,1,2,南,23
6,15,1,1,1,2,2,1,南,4
14,10,1,1,1,2,2,1,南,10
2,8,1,1,2,2,2,0,南,0
7,8,1,1,2,1,3,2,南,0
6,16,1,1,1,1,1,3,南,5
0,13,1,1,1,1,9,2,南,1
8,9,1,1,1,1,1,2,南,3
3,6,1,1,2,2,2,0,南,3
3,9,1,1,1,1,1,1,南,0
14,12,1,1,9,1,9,0,南,4
9,9,1,1,1,1,1,1,南,7
30,8,1,1,1,2,2,1,南,11
11,8,1,1,1,3,3,1,南,8
8,9,1,1,1,3,3,1,南,5
15,9,1,1,1,3,3,1,南,7
13,11,1,1,2,2,2,0,南,11
24,18,1,1,2,2,2,1,南,18
7,10,1,1,3,3,3,1,南,17
10,9,1,1,3,3,3,1,南,1
5,9,1,1,1,1,2,2,南,5
5,10,1,1,1,1,1,3,南,7
17,15,1,1,3,3,3,2,南,6
14,3,1,1,1,2,2,1,南,9
15,20,1,1,2,2,2,2,南,6
21,8,1,1,1,1,1,2,南,2
4,6,1,1,1,1,1,1,南,1
29,17,1,1,2,2,2,1,南,16
10,6,1,1,2,9,3,2,南,1
15,16,1,1,1,1,2,1,南,16
5,13,1,1,2,2,2,1,南,0
8,12,1,1,2,2,2,1,南,7
6,15,1,1,1,3,3,1,南,0
14,9,1,1,1,1,2,1,南,10
30,23,1,1,2,2,2,2,南,9
13,6,1,1,9,1,9,0,南,4
4,23,1,1,1,2,2,2,南,9
9,18,1,1,2,2,2,1,南,11
2,14,1,1,2,2,2,1,南,1
9,11,1,1,2,3,3,3,南,7
3,7,1,1,2,2,9,1,南,0
14,12,1,1,1,1,1,1,南,23
15,4,1,1,1,1,1,1,南,3
8,9,1,1,1,9,9,0,南,2
4,9,1,1,2,2,9,2,南,0
14,5,1,1,1,1,2,2,南,5
9,6,1,1,1,1,2,2,南,5
12,8,1,1,1,1,1,1,南,3
9,12,1,1,1,1,1,3,南,2
0,7,1,1,1,1,1,1,南,0
43,17,1,1,1,1,9,2,南,9
13,18,1,1,2,2,2,3,南,16
6,8,1,1,1,1,1,1,南,0
5,7,1,1,1,1,1,1,南,3
8,16,1,1,1,1,1,2,南,12
9,14,1,1,1,1,1,1,北,6
4,6,1,1,3,3,3,1,北,6
10,13,1,1,1,1,1,2,北,27
4,6,1,1,2,2,2,3,北,1
9,24,1,1,1,1,3,2,北,2
0,9,1,1,9,9,9,0,北,0
14,17,1,1,2,2,3,2,北,3
7,9,1,1,1,1,2,3,北,8
3,11,1,1,2,3,3,3,北,0
2,14,1,1,3,3,3,1,北,0
1,14,1,1,3,3,3,2,北,4
14,10,1,1,1,1,1,1,北,3
9,8,1,1,1,1,1,3,北,8
9,7,1,1,1,1,3,0,北,0
8,5,1,1,1,1,3,0,北,0
11,11,1,1,1,1,9,0,北,0
7,13,1,1,2,2,2,3,北,0
6,8,1,1,1,2,2,1,北,7
13,15,1,1,2,2,2,1,北,11
4,10,1,1,1,1,1,2,北,0
5,6,1,1,2,2,2,3,北,0
9,12,1,1,1,1,1,2,北,12
16,14,1,1,1,1,1,2,北,9
13,11,1,1,3,3,9,1,北,8
28,11,1,1,1,1,1,2,北,20
9,17,1,1,1,1,1,2,北,0
29,11,1,1,2,2,2,1,北,3
5,13,1,1,2,1,1,2,北,0
8,7,0,1,3,3,3,1,東,0
21,9,0,1,3,3,3,1,東,5
14,6,0,1,3,3,9,1,東,3
3,4,0,1,2,2,2,0,東,8
9,6,0,1,2,2,2,1,東,0
15,13,0,1,1,3,3,2,東,1
14,17,0,1,2,2,2,1,東,2
14,18,0,1,1,1,1,1,東,2
4,19,0,1,1,1,2,2,東,8
14,5,0,1,3,3,3,1,東,0
30,19,0,1,1,1,1,2,東,11
90,3,0,1,1,1,1,2,東,5
13,6,0,1,1,1,1,2,東,13
8,8,0,1,2,2,9,2,東,0
2,0,0,1,2,2,2,2,東,0
2,0,0,1,2,2,2,2,東,0
20,16,0,1,2,2,2,1,東,1
11,12,0,1,2,2,2,3,東,3
8,5,0,1,9,9,9,0,東,0
7,12,0,1,9,9,2,2,東,3
6,10,0,1,1,1,1,1,東,1
4,11,0,1,1,1,2,3,東,4
1,4,0,1,2,2,9,0,東,0
2,2,0,1,2,2,2,1,東,0
28,7,0,1,2,2,2,1,東,9
5,6,0,1,1,1,1,2,東,0
28,13,0,1,1,1,1,3,東,20
15,12,0,1,1,1,1,3,東,14
4,13,0,1,1,9,9,2,東,0
8,4,0,1,1,1,3,1,東,5
1,8,0,1,1,9,9,1,東,0
1,8,0,1,1,1,2,1,東,0
13,11,0,1,1,1,2,1,東,7
30,10,0,1,2,9,9,1,東,5
9,5,0,1,1,1,1,3,東,1
4,4,0,1,1,1,1,3,東,2
5,19,0,1,3,3,3,1,東,0
59,9,0,1,1,2,2,2,東,8
4,7,0,1,1,2,2,1,東,1
6,17,0,1,1,1,2,1,東,1
9,15,0,1,1,1,1,3,東,0
6,14,0,1,1,1,1,3,東,2
8,0,0,1,9,9,9,0,東,3
13,10,0,1,1,1,1,1,東,0
5,7,0,1,2,2,2,1,東,4
1,8,0,1,1,9,9,2,東,4
22,18,0,1,2,1,2,2,東,0
3,10,0,1,2,9,9,1,東,0
14,5,0,1,1,2,2,1,東,37
29,22,0,1,2,3,3,1,東,17
15,17,0,1,2,9,3,1,東,1
10,6,0,1,1,1,1,1,東,4
7,3,0,1,9,9,9,0,東,5
7,7,0,1,1,1,1,1,東,1
6,5,0,1,1,1,1,1,東,0
28,6,0,1,2,2,2,1,東,6
5,10,0,1,3,2,2,0,東,1
30,2,0,1,2,2,3,1,東,2
7,1,0,1,2,2,3,1,東,3
14,17,0,1,1,1,2,3,東,7
15,17,0,1,1,1,2,3,東,0
10,13,0,1,2,2,2,3,東,6
28,5,0,1,1,1,2,1,東,10
1,13,0,1,3,3,2,3,東,0
30,17,0,1,1,1,9,1,東,0
13,12,0,1,1,1,3,3,東,10
5,0,0,1,2,2,2,2,東,0
6,3,0,1,2,9,9,1,西,0
15,22,0,1,1,1,1,1,西,14
60,4,0,1,2,2,2,1,西,0
7,5,0,1,3,3,3,1,西,9
3,6,0,1,2,2,2,2,西,0
3,5,0,1,2,2,9,2,西,0
6,2,0,1,9,9,9,0,西,10
1,9,0,1,9,9,9,0,西,0
8,7,0,1,1,1,2,1,西,1
28,6,0,1,1,1,9,0,西,2
15,8,0,1,2,2,2,1,西,7
8,2,0,1,9,9,9,0,西,0
5,3,0,1,3,3,3,0,西,0
12,10,0,1,1,1,1,1,西,12
1,11,0,1,9,9,9,1,西,2
7,15,0,1,2,2,1,1,西,14
13,7,0,1,2,2,2,1,西,5
9,10,0,1,2,1,2,1,西,0
3,15,0,1,1,1,3,2,西,0
5,10,0,1,9,9,9,0,西,2
2,12,0,1,9,9,9,0,西,0
15,11,0,1,1,1,9,1,西,5
30,17,0,1,1,2,2,1,西,3
10,11,0,1,1,2,2,3,西,3
4,6,0,1,1,1,1,1,西,1
5,10,0,1,1,1,1,1,西,4
5,11,0,1,3,3,3,0,西,4
2,5,0,1,3,3,3,0,西,1
1,2,0,1,3,3,3,0,西,0
4,7,0,1,2,2,2,2,西,19
8,14,0,1,2,2,2,2,西,0
4,3,0,1,2,2,9,0,西,5
15,6,0,1,2,2,2,2,西,3
3,9,0,1,9,9,9,0,西,3
7,16,0,1,1,1,9,1,西,3
10,18,0,1,1,1,1,1,西,13
1,3,0,1,9,9,9,1,西,0
0,2,0,1,9,9,9,1,西,0
8,5,0,1,2,2,2,2,西,1
29,5,0,1,2,1,2,2,西,10
14,12,0,1,1,1,1,1,西,0
4,15,0,1,9,9,9,0,西,8
6,16,0,1,2,2,9,2,西,7
5,11,0,1,2,2,9,2,西,0
1,2,0,1,2,2,9,2,西,0
1,4,0,1,2,2,3,2,西,0
5,9,0,1,2,2,9,2,西,0
9,9,0,1,2,2,9,2,西,0
1,8,0,1,2,2,9,2,西,0
3,1,0,1,2,2,9,1,西,0
1,1,0,1,2,2,9,1,西,0
17,3,0,1,2,2,2,1,西,0
16,11,0,1,3,3,3,2,西,9
13,11,0,1,3,3,3,1,西,1
8,6,0,1,3,3,3,0,西,4
7,4,0,1,3,3,3,0,西,0
6,2,0,1,2,2,2,1,西,4
4,4,0,1,3,3,3,0,西,5
9,7,0,1,2,2,2,1,西,23
15,17,0,1,1,1,1,3,西,4
30,19,0,1,1,1,2,2,西,5
17,7,0,1,2,2,2,1,西,9
7,5,0,1,2,2,2,2,西,1
6,3,0,1,1,3,3,1,西,3
16,19,0,1,9,1,1,0,西,16
6,2,0,1,2,2,2,1,西,0
4,3,0,1,2,2,2,1,西,5
1,5,0,1,2,2,2,1,西,0
2,5,0,1,2,2,2,1,西,0
6,4,0,1,1,1,1,1,西,0
1,7,0,1,1,3,3,1,南,0
12,12,0,1,1,3,3,1,南,19
17,20,0,1,2,2,9,2,南,0
2,6,0,1,3,3,9,1,南,0
0,0,0,1,9,9,9,0,南,0
9,24,0,1,1,1,1,3,南,17
6,9,0,1,9,9,9,1,南,7
3,9,0,1,2,2,2,1,南,3
8,17,0,1,1,1,1,1,南,9
14,11,0,1,1,1,1,3,南,1
7,4,0,1,9,9,9,1,南,0
7,8,0,1,1,2,2,1,南,4
8,11,0,1,9,9,9,1,南,4
4,5,0,1,1,2,1,1,南,4
43,13,0,1,1,1,1,1,南,0
9,12,0,1,2,2,2,2,南,2
0,6,0,1,9,9,9,0,南,0
5,10,0,1,3,3,3,1,南,5
6,26,0,1,1,1,2,0,南,5
7,10,0,1,1,1,1,1,南,0
7,8,0,1,1,1,1,3,南,11
7,16,0,1,2,1,2,3,南,7
15,16,0,1,9,9,9,3,南,10
15,19,0,1,2,2,2,2,南,0
43,22,0,1,2,2,3,3,南,0
15,22,0,1,2,2,2,1,南,0
5,6,0,1,1,3,1,2,南,11
4,8,0,1,1,1,1,1,南,6
2,11,0,1,1,1,1,2,南,1
5,4,0,1,9,9,9,0,南,7
15,11,0,1,9,9,9,1,南,15
7,8,0,1,9,9,9,1,南,0
5,7,0,1,3,3,3,1,南,1
8,2,0,1,9,9,9,0,南,4
4,3,0,1,9,9,9,1,南,0
6,2,0,1,2,2,2,1,南,0
15,1,0,1,9,9,9,0,南,6
44,24,0,1,2,2,2,3,南,8
9,12,0,1,3,3,3,1,南,0
4,5,0,1,9,1,3,0,南,2
2,8,0,1,9,9,9,0,南,1
5,10,0,1,1,1,3,3,南,7
11,15,0,1,1,1,1,2,南,8
1,5,0,1,1,1,1,1,南,0
14,17,0,1,1,1,3,2,南,0
0,4,0,1,1,2,3,2,南,5
